record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
3368,,TRACKING,8,6000000,6528,1509,1509,1084,0.0383058,3,0.000117914,41950,124,875,230,12433,14127,1600,4150,17189
3374,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230825346496 current_scan_start_ns=1701245230824808121 current_scan_end_ns=1701245230857443121 overlap_duration_ns=538375 scan_index=495,TRACKING,8,6000000,6528,1509,1509,1084,0.0383058,3,0.000117914,41950,124,875,230,12433,14127,1600,4150,17189
3381,,TRACKING,14,6000000,6528,1976,1976,1746,0.0248896,3,2.17462e-05,41995,216,890,285,14958,17698,1649,4150,20989
3388,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230891790178 current_scan_start_ns=1701245230891469479 current_scan_end_ns=1701245230924104479 overlap_duration_ns=320699 scan_index=497,TRACKING,14,6000000,6528,1976,1976,1746,0.0248896,3,2.17462e-05,41995,216,890,285,14958,17698,1649,4150,20989
3395,,TRACKING,13,6000000,6528,1058,1058,709,0.0375612,3,0.000145782,42012,197,876,181,7882,8991,870,4150,11274
3401,,TRACKING,8,6000000,6528,2026,2026,1759,0.028595,2,0.000516805,42072,124,881,287,9845,11611,1816,4150,14954
3408,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245230991329696 current_scan_start_ns=1701245230991153240 current_scan_end_ns=1701245231023788240 overlap_duration_ns=176456 scan_index=500,TRACKING,8,6000000,6528,2026,2026,1759,0.028595,2,0.000516805,42072,124,881,287,9845,11611,1816,4150,14954
3415,,TRACKING,13,6000000,6528,962,962,625,0.0347991,3,0.000114534,42083,212,867,169,7393,8411,797,4150,10608
3422,,TRACKING,8,6000000,6528,1976,1976,1716,0.0254243,3,0.000135389,42115,124,914,301,14789,17420,1603,4150,20566
3429,,TRACKING,8,6000000,6528,1848,1848,1320,0.0359919,3,0.000137695,42172,124,879,274,14948,17017,1899,4150,20457
3436,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245231125339773 current_scan_start_ns=1701245231124988079 current_scan_end_ns=1701245231157623079 overlap_duration_ns=351694 scan_index=504,TRACKING,8,6000000,6528,1848,1848,1320,0.0359919,3,0.000137695,42172,124,879,274,14948,17017,1899,4150,20457
3442,,TRACKING,14,6000000,6528,2084,2084,1801,0.0262724,3,0.000100694,42208,217,902,307,15595,18432,1792,4150,21907
3449,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245231191843059 current_scan_start_ns=1701245231191462755 current_scan_end_ns=1701245231224097755 overlap_duration_ns=380304 scan_index=506,TRACKING,14,6000000,6528,2084,2084,1801,0.0262724,3,0.000100694,42208,217,902,307,15595,18432,1792,4150,21907
3456,,TRACKING,13,6000000,6528,762,762,479,0.0365132,3,7.25702e-05,42218,208,918,156,5932,6672,501,4150,8619
3462,,TRACKING,8,6000000,6528,2090,2090,1782,0.0278301,3,0.000352143,42259,126,915,297,16130,18889,1993,4293,26725
3469,,TRACKING,8,6000000,6528,1964,1964,1474,0.0320127,3,4.42106e-05,42287,128,894,287,15813,18126,2047,4293,21759
3476,,TRACKING,7,6000000,6528,701,701,381,0.037269,3,1.9803e-07,42295,110,872,142,5032,5586,400,4293,7243
3483,,TRACKING,8,6000000,6528,2216,2216,1836,0.0296732,3,0.000194029,42344,124,929,346,17631,20440,1980,4293,24047
3490,,TRACKING,8,6000000,6528,1947,1947,1483,0.0325395,3,0.000156273,42378,128,905,280,15723,18095,2182,4293,21850
3497,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245231425425794 current_scan_start_ns=1701245231425048113 current_scan_end_ns=1701245231457683113 overlap_duration_ns=377681 scan_index=513,TRACKING,8,6000000,6528,1947,1947,1483,0.0325395,3,0.000156273,42378,128,905,280,15723,18095,2182,4293,21850
3503,,TRACKING,14,6000000,6528,2198,2198,1824,0.0279433,3,0.000115411,42419,227,920,318,17071,19838,2056,4293,23638
