run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T013610-212855,occlusion_featured,INFRASTRUCTURE_INVALID,BLOCKED,world_source_age_at_command_stamp_ms,ROS source time,per run; diagnostic samples not event-paired,2884,44.0,115.999999,172.0,243.999999,268.0,279.999999,117.0596388959778,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,COUNTER_LAST_command_publication_deadline_miss_count,counter,last observed cumulative counter,545,,,,,,0.0,,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,545,,,,,,0.0,,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,545,,,,,,0.0,,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.003,1.564,3.302,4.494,,5.264,1.641267889908257,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,adapter_setpoint_update_duration_ms,diagnostic duration,per run; diagnostic samples not event-paired,2703,0.029867,0.070131,0.134185,0.179311,0.301115,0.451409,0.07759553422123566,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,adapter_setpoint_update_duration_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,2677,0.030569,0.07015,0.134397,0.179647,0.301115,0.451409,0.07767974523720583,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,adapter_state_receive_to_update_ms,steady duration,per run; diagnostic samples not event-paired,2703,0.010849,10.799294,21.037383,21.411684,26.193185,31.148611,10.910896953015168,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,adapter_state_source_age_at_update_ms,ROS source time,per run; diagnostic samples not event-paired,2703,0.0,8.0,16.0,16.0,20.0,24.0,8.182019977802442,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,adapter_state_source_age_at_update_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,2677,0.0,8.0,16.0,16.0,20.0,24.0,8.182293612252522,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,command_recorder_interarrival_ms,recorder wall time,per run; diagnostic samples not event-paired,3357,16.166367,19.999966,20.258146,20.558433,21.699898,23.72654,19.999924129877865,0
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,command_source_interarrival_ms,ROS source time,per run; diagnostic samples not event-paired,3357,11.999999,16.0,16.000001,20.0,20.000001,20.000001,15.999999999702116,0
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,command_store_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.0,0.09,0.166,0.21,,0.432,0.09829908256880734,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,command_transport_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.0,0.084,0.161,0.2,,0.424,0.0927651376146789,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,683,9.862,27.749000000000002,57.115,68.226,,103.552,31.86965300146413,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,mapping_observation_to_diagnostic_stamp_proxy_ms,ROS source time,per run; diagnostic samples not event-paired,683,36.0,68.0,96.0,104.0,,140.0,69.10102489019033,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,683,2.063,8.183,12.51,15.344000000000001,,16.45,7.382295754026354,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.0,0.0,0.0,0.001,,4.649,0.02531926605504587,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,planning_scheduling_gap_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.0,0.0,0.323,0.891,,400.928,3.7381376146788994,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,planning_worker_runtime_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,545,0.0,0.245,0.497,5.583,,24.867,0.4381045871559633,
external-mode-gui-20260922T014008-217087,tunnel_irregular,VALID,FAIL,world_source_age_at_command_stamp_ms,ROS source time,per run; diagnostic samples not event-paired,3358,39.999999,119.999999,184.0,247.999999,271.999999,307.999999,122.14294173793925,
