record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256495892641351,133,877,228,11378,13189,1409,3717,16035
1785256495929550624,126,867,292,13488,16467,1679,3717,19718
1785256495962603940,134,949,240,10365,11908,1287,3851,18607
1785256495975934189,134,949,240,10365,11908,1287,3851,18607
1785256496029978224,232,903,324,13716,16580,1490,3851,19789
1785256496042576081,232,903,324,13716,16580,1490,3851,19789
1785256496093557508,343,1764,350,11164,12936,1120,3851,17082
1785256496129462154,126,856,294,13151,16322,2047,3851,19884
1785256496142243473,126,856,294,13151,16322,2047,3851,19884
1785256496189496279,220,869,176,8971,10239,1069,3851,12791
1785256496230417543,132,884,293,14097,17363,1641,3851,20611
1785256496260697409,133,871,253,11949,13788,1451,3851,16902
1785256496276051797,133,871,253,11949,13788,1451,3851,16902
1785256496329958106,221,855,290,13521,16567,1527,3851,19783
1785256496342471276,221,855,290,13521,16567,1527,3851,19783
1785256496387408366,234,896,171,7535,8573,712,3851,10790
1785256496430717647,132,891,297,14418,17652,1787,3851,21016
1785256496466599758,125,882,251,13789,15963,1766,3991,23280
1785256496486573001,131,902,165,7109,8121,818,3991,10335
1785256496530533524,137,886,326,14831,17865,1696,3991,21149
1785256496563216427,131,871,257,14186,16353,1674,3991,19552
1785256496576103909,131,871,257,14186,16353,1674,3991,19552
1785256496631641069,212,879,299,14769,18072,1690,3991,21451
1785256496642414122,212,879,299,14769,18072,1690,3991,21451
1785256496684654283,223,852,157,5511,6246,517,3991,8177
1785256496731223316,129,865,313,14946,18016,1946,3991,21504
1785256496765038404,139,906,288,15584,18056,1875,3991,21650
1785256496783650113,115,856,145,4971,5628,408,3991,7311
1785256496832535642,131,871,293,15928,19338,1969,3991,22844
1785256496870713623,134,910,292,15871,18593,1922,4171,26419
1785256496876088663,134,910,292,15871,18593,1922,4171,26419
1785256496933938821,232,874,315,16488,19730,2139,4171,23608
1785256496942477248,232,874,315,16488,19730,2139,4171,23608
1785256496983296455,226,870,129,4247,4861,364,4171,6708
1785256497034405590,184,1718,426,16939,20061,1994,4171,24617
1785256497066415060,149,874,290,16141,19178,2052,4171,22952
1785256497081280304,146,930,123,2720,3082,330,4171,4758
1785256497135418802,143,887,318,18094,21811,2300,4171,25718
1785256497160732276,166,940,325,11004,13183,1996,4171,17057
1785256497175931010,166,940,325,11004,13183,1996,4171,17057
1785256497233771180,247,889,319,16239,19452,2189,4171,23373
1785256497242589554,247,889,319,16239,19452,2189,4171,23373
1785256497282356644,211,873,113,3410,3928,306,4171,5689
1785256497330249739,122,981,300,10528,12495,1967,4288,20350
1785256497360033411,131,886,312,10785,12838,1980,4288,16413
1785256497382851113,128,878,128,4003,4558,322,4288,6279
1785256497430295119,114,903,287,14518,17204,1857,4288,20564
1785256497468946946,141,930,357,17429,20944,2243,4288,24934
1785256497475944736,141,930,357,17429,20944,2243,4288,24934
1785256497530427799,223,868,260,14258,16672,1844,4288,20244
1785256497542436188,223,868,260,14258,16672,1844,4288,20244
1785256497582146258,218,865,153,3363,3835,483,4288,5710
1785256497632902175,183,1680,374,15913,18815,1767,4288,23030
1785256497667882812,139,964,326,17103,20579,1956,4288,24245
1785256497685215789,202,939,150,5918,6737,552,4288,8868
1785256497734382128,122,887,271,14654,17055,1896,3968,24396
1785256497766740605,135,927,318,15819,19198,1985,3968,22918
1785256497775925086,135,927,318,15819,19198,1985,3968,22918
1785256497829843340,223,879,242,13878,16082,1887,3968,19772
1785256497842439039,223,879,242,13878,16082,1887,3968,19772
1785256497887375759,236,935,172,7632,8701,781,3968,10985
1785256497928466200,141,935,270,13637,15650,1646,3968,18839
1785256497942065197,141,935,270,13637,15650,1646,3968,18839
1785256497987056957,249,868,197,7494,8557,806,3968,10829
1785256498022335709,110,865,248,8481,9699,1511,3968,12641
1785256498065353070,129,870,301,14668,18114,1905,3968,21628
1785256498075894562,129,870,301,14668,18114,1905,3968,21628
1785256498127254167,219,855,220,12225,14194,1522,3968,17342
1785256498142367055,219,855,220,12225,14194,1522,3968,17342
1785256498189256231,210,871,192,8920,10213,1101,3968,12753
1785256498228556684,139,937,210,10352,11757,1182,4039,18429
